vendor,tag,freq
V03,222,1
V03,LY,1
V03,ZIC,1
V03,ZI,1
V03,XM,1
V03,JIIJ,1
V03,-1I,1
V03,L1,1
V03,B1,1
V03,B2,1
V03,A2,1
V03,-1,1
V03,HDIF,1
V03,HDIH,1
V03,-3,1
V03,-1S,1
V03,5S,1
V03,FJ,1
V03,KK,1
V03,YY,1
V04,283,1
V04,SEE,1
V04,OIM,1
V04,PID,1
V04,"24""-SW-6-72009-B630",1
V04,IJ,1
V04,7300,1
V04,44,1
V04,SEA,1
V04,588832,1
V04,"3""-JC-6-36004-B580",1
V04,MIN,1
V04,PLC,1
V04,"10""-SW-6-72017-B630",1
V04,J9,1
V04,NOTE,1
V04,883,1
V04,260,1
V04,NNF,1
V04,WASH,1
V04,FEED,1
V04,08-DA-791,1
V04,LI,1
V04,"2""-WD-6-72004-B580",1
V04,M2T1,1
V04,LL0,1
V04,S-673-A-002,1
V04,TP64,1
V04,TP66,1
V04,IZ,1
V04,115,1
V04,M269,1
V04,M830,1
V04,43,1
V04,S8,1
V04,ZO,1
V04,TP77,1
V04,TR36,1
V04,TP56,1
V04,S758-10004.001,1
V04,M794,1
V04,TP33,1
V04,TP27,1
V04,TP41,1
V04,TP7O,1
V04,211,1
V04,610,1
V04,TP37,1
V04,TP31,1
V04,HI,1
V04,TP39,1
V04,TP35,1
V04,183,1
V04,TP29,1
V04,LWS,1
V04,TP5O,1
V04,TP49,1
V04,TP87,1
V04,TP47,1
V04,TP5S,1
V04,TP42,1
V04,DECK,1
V04,0J,1
V04,138,1
V04,4H,1
V04,JH,1
V04,683,1
V04,833,1
V04,73,1
V04,014,1
V04,012,1
V04,613,1
V04,017,1
V04,016,1
V04,959,1
V04,8C,1
V04,S-674-A-005,1
V04,JU,1
V04,UMP,1
V04,DIS,1
V04,KC,1
V04,2Q,1
V04,XZY,1
V04,YHH,1
V04,AH,1
V04,PZT,1
V04,724,1
V04,735,1
V04,AL,1
V04,LL,1
V04,LLL,1
V04,206,1
V04,8-674-IDB-5033,1
V04,3-674-IDB-5032,1
V04,8-674-CHV-5030,1
V04,I8,1
V04,XI,1
V04,ZV7,1
V04,RSIH,1
V04,TPZ,1
V04,20-674-DW526-A1SEO-N,1
V04,TP1,1
V04,3-674-MV-5037,1
V04,720,1
V04,MV-5035,1
V04,8-674-MV-5036,1
V04,8P,1
V04,4-MV-5034,1
V04,TP4,1
V04,M289,1
V04,BV,1
V04,8-672,1
V04,UC,1
V04,831,1
V04,P1,1
V04,PSV,1
V04,739,1
V04,M1,1
V04,VC,1
V04,30-674-DW535-A1SEO-N,1
V04,Z0,1
V04,I9,1
V04,LIA,1
V04,VIDO,1
V04,8-674-MV-5079,1
V04,FBY,1
V04,LOL,1
