mask,vendor,freq,n_digits,status,beaten_by
#####-####,V04,1,9,ACCEPTED,
AAA###-##,V04,1,5,ACCEPTED,
-####-###-AAA#A#-A,V04,1,9,ACCEPTED,
AA-A#AAAAA#-,V04,1,2,ACCEPTED,
AAAA###-,V04,1,3,ACCEPTED,
##A,V04,1,2,ACCEPTED,
A#.##-AAAAA,V04,1,3,REJECTED,##.##-AAAAA
A#.AA-AA-##AA###-AA#,V04,1,7,ACCEPTED,
#.##-AA-##AAA##-AA#A,V04,1,8,REJECTED,#.##-AA-##A####-AAAA
##.##-AA-#AAAA#,V04,1,6,ACCEPTED,
##-AA-##A,V04,1,4,REJECTED,##-AA-###
##.##-AA-##AA##A,V04,1,8,ACCEPTED,
-##A####-AA#AA-#,V04,1,8,ACCEPTED,
A#-AA-A#AA#,V04,1,3,REJECTED,AA-AA-###AA
AA-A#A#-##,V04,1,4,ACCEPTED,
##.##-AA-##AA,V04,1,6,ACCEPTED,
##.##-AA-##AAAA#,V04,1,7,REJECTED,##.##-AA-##AA##A
####-AA#AA-#,V04,1,6,ACCEPTED,
##.##-AA-##AA###-AA,V04,1,9,ACCEPTED,
##.##-AA-#AAA,V04,1,5,REJECTED,##.##-AA-##AA
A####-AA#AA-#,V04,1,6,ACCEPTED,
##.##-AA-#AAAAA#-AA,V04,1,6,REJECTED,##.##-AA-##AA###-AA
A##.##-AAAA,V04,1,4,ACCEPTED,
##-AA-A##,V04,1,4,REJECTED,##-AA-##A
##-AA-#A##,V04,1,5,REJECTED,##-AA-####
#.##-AA-##A####-AAAA,V04,1,9,ACCEPTED,
AA-AA-##AA###-AAAAA-,V04,1,5,ACCEPTED,
A#-AAAAAAA##,V04,1,3,ACCEPTED,
A-AA-##AAA##-AAAAA-A,V04,1,4,ACCEPTED,
##.##-AA-##AA###-,V04,1,9,ACCEPTED,
A#AAA,V04,1,1,REJECTED,##A#A
#A####-AAAAA-#,V04,1,6,ACCEPTED,
##.##-AA-##A####-A,V04,1,10,ACCEPTED,
##.##-AA-##AAA#A,V04,1,7,REJECTED,##.##-AA-##AAAA#
##-AAA-####,V04,1,6,ACCEPTED,
